,momentum_1y,momentum_6m,momentum_3m,momentum_15d
DPZ,0.0,0.0,0.0,0.0
DOV,0.14804223493180735,0.26261037861376657,0.046835823889279427,0.0032679738562091387
DOW,0.1095466065896924,0.7787810383747187,0.713043478260869,0.18603251053582204
DHI,0.051677384365073964,-0.17603496418598918,-0.07294085507444259,-0.0768498367791074
DUK,0.1045656634746912,0.05754747871643695,0.10239781551326899,-0.023654776299878777
DD,0.4398872886662495,0.4764044943820236,0.11952288218111096,0.02131912058627594
EMN,-0.19452513966480378,0.17697959183673606,0.14902773350334764,0.029710041422653655
ETN,0.2527383794410891,-0.020693251365370924,0.10453166594440666,0.02714450201496832
EBAY,0.3637196518552466,-0.03967741935483904,0.05617313150425729,-0.03333694122740505
ECL,0.04725252926006562,-0.011089465008241817,-0.004675716440422084,-0.06446925394293834
EIX,0.2234337140879188,0.3100444773906592,0.1791492910758956,-0.012985199664898306
EW,0.15478873239436508,0.09043755818592714,-0.04939130434782624,0.0076195157920611045
EA,0.3905819084390505,0.20039281037971657,-0.013354857646022955,0.021836052284932128
ELV,-0.3159010436079006,-0.07098794723355784,-0.14630813953488264,0.015280898876404603
EMR,0.10667371947456306,-0.03341803341803462,-0.0794221179231458,-0.09128420443028828
ENPH,-0.3325565912117171,0.08290575209289841,0.2278015921616663,0.0007486897928623559
ETR,0.222539569201472,0.13929244759898052,0.10903594947641215,-0.017125908916953203
EOG,0.14160595256549424,0.2573843264469875,0.4202102015234803,0.12229503200243896
EPAM,-0.23127865511971502,-0.09351221465758852,-0.35050215208034463,-0.06685447299711411
EQT,0.2658323852863087,0.24020063161805671,0.2376714868372256,0.07886231415643175
EFX,-0.2771439239928656,-0.3067955757141727,-0.21019945602901224,-0.1599324975891997
EQIX,0.15657557180194304,0.22876812243278777,0.26992964451967705,0.02964765928245172
EQR,-0.16913614760972906,-0.06614296936370834,-0.05184239910671529,-0.050782497604599075
ESS,-0.20373158756137522,-0.07600562160519586,-0.06686102267060456,-0.04469054351240942
EL,0.05990573209669936,-0.17110582639714622,-0.35153488372093034,-0.24800431499460607
EG,-0.12454202438891071,-0.07129390608231678,-0.04861090476897911,-0.040456711318888505
EVRG,0.19452706722189217,0.09427792915531263,0.10208562019758527,-0.035195195195194984
ES,0.1338793247534691,-0.008042111419797049,0.011782252050708708,-0.08694481830417222
EXC,0.09988623435722133,0.10617848970251642,0.11356830223450753,-0.019472616632860373
EXPE,0.3422617329561852,0.08289865871833113,-0.18750436788035418,-0.06734587461393471
EXR,-0.10199159258493462,-0.050080186616124456,0.0016141429669491725,-0.10630272272134944
XOM,0.39312330623306035,0.4249826749826746,0.3804968110104068,0.09012591119946989
FFIV,0.07147567409144218,-0.0959196290571871,0.11821831389791537,0.02383952951060686
FDS,-0.5306677546579633,-0.26939769238911815,-0.2843218581501453,-0.07932414406402855
FAST,0.1683527885862528,-0.05714883818296024,0.07699665231946518,-0.029101099374865047
