,momentum_15d,momentum_3m,momentum_6m,momentum_1y,predicted_return_pct,current_price,predicted_price,mape,score
AMZN,-0.02377260981912155,-0.10527902170168768,-0.046616196375315,0.034089778043195684,-1.07,207.79,205.57,3.17,0.42458413689494623
EBAY,-0.03333694122740505,0.05617313150425729,-0.03967741935483904,0.3637196518552466,4.43,89.31,93.27,2.92,0.42404252587438607
RL,-0.013462733378702185,-0.07810987917162071,0.10112285336855975,0.45674589304438684,-7.67,333.42,307.84,4.19,0.4238673043407567
KEYS,0.03015832200712598,0.3639414425368428,0.6294230434024746,0.7938975244674757,-34.55,280.44,183.56,2.74,0.42285837488288597
DE,-0.013590880519171677,0.24497191131695195,0.24582671759000974,0.20190854706162265,-8.2,580.63,533.0,3.78,0.4226903296517538
AIG,-0.027332824815662127,-0.1179386672815309,-0.00726612170753993,-0.0901415150434074,0.04,76.51,76.54,3.64,0.4225663816801772
FAST,-0.029101099374865047,0.07699665231946518,-0.05714883818296024,0.1683527885862528,1.04,45.04,45.51,3.34,0.4224335947482606
EPAM,-0.06685447299711411,-0.35050215208034463,-0.09351221465758852,-0.23127865511971502,23.85,135.81,168.2,5.58,0.4224266694818317
ESS,-0.04469054351240942,-0.06686102267060456,-0.07600562160519586,-0.20373158756137522,10.12,243.26,267.87,4.97,0.4217740809628564
ALL,-0.020480392619508403,-0.006509357200976118,-0.009259701207578908,-0.0070796460176996145,-4.54,207.57,198.15,2.74,0.42171534790523474
CRM,-0.08251873170247592,-0.3012885916184862,-0.2302889018399794,-0.34016130183427284,32.89,184.9,245.72,3.77,0.42160205420697294
ATO,-0.009529481834425257,0.08809183916250385,0.10026464573559624,0.21945203653089984,-11.25,182.93,162.35,2.17,0.42153593764962316
ODFL,-0.03164360933305799,0.17685069008782905,0.3378262729995727,0.11474922747801353,2.05,187.59,191.43,6.44,0.42141366528632557
KDP,-0.06983339241403752,-0.06118067978533104,0.02180685358255552,-0.22868900646678358,25.08,26.24,32.82,6.58,0.42132204110665866
PEG,-0.03179956636954928,-0.003718393653940666,-0.004335439118047346,-0.012409386902570096,2.0,80.38,81.99,2.74,0.4211341815127061
STE,-0.029631885823688253,-0.12500490446109758,-0.0852748154224775,0.0012121756307805764,0.52,223.01,224.17,2.39,0.42080456326116517
NDSN,-0.03027967408059895,0.08585401939832216,0.19427744880893294,0.279095662277306,0.88,264.21,266.54,2.24,0.420743635347541
MSCI,-0.032935821896058926,-0.0570558689968349,-0.02673768308921487,-0.03581039486412807,2.47,548.19,561.72,3.18,0.4207144654659193
SO,-0.02095316351684462,0.09563218390804584,0.018376068376067867,0.07185426740132628,-4.79,95.32,90.75,2.31,0.42067739873641374
MOS,-0.05064737242955053,0.031870860927152966,-0.28217679239850224,-0.08041313168572306,13.12,24.93,28.2,8.04,0.4206123155350079
TECH,-0.021573368049098263,-0.1102655166582106,0.04364213449712473,-0.1117676852946129,-4.52,52.61,50.23,3.54,0.42047438259946535
GL,-0.014466163291228629,-0.026012971615872793,-0.01958581958582084,0.07125872516683196,-8.84,139.66,127.32,3.49,0.42042542929515214
NI,-0.020711974110032227,0.08484703632887247,0.08744609487302246,0.1375939849624035,-5.22,45.39,43.02,2.54,0.4201266250771568
USB,-0.023144605967865384,-0.0690849434925267,0.0435226808336715,0.168917372396427,-3.78,51.07,49.14,6.27,0.420068518979151
